episode,timestep,reward
589,588000,-26.831
591,590000,-24.641
593,592000,-25.0917
595,594000,-25.6711
597,596000,-25.3324
599,598000,-24.7421
601,600000,-26.5008
603,602000,-24.3534
605,604000,-26.2888
607,606000,-25.2333
609,608000,-25.1351
611,610000,-25.3661
613,612000,-25.9505
615,614000,-25.3412
617,616000,-24.4676
619,618000,-24.6016
621,620000,-25.3939
623,622000,-23.4476
625,624000,-23.984
627,626000,-24.3988
629,628000,-25.0701
631,630000,-26.8271
633,632000,-27.5394
635,634000,-26.5011
637,636000,-26.5395
639,638000,-26.9612
641,640000,-26.1183
643,642000,-26.2234
645,644000,-27.1157
647,646000,-26.0756
649,648000,-25.4567
651,650000,-26.0482
653,652000,-23.8824
655,654000,-26.2367
657,656000,-24.6605
659,658000,-25.3888
661,660000,-24.9244
663,662000,-25.2063
665,664000,-25.6316
667,666000,-25.1545
669,668000,-26.2868
671,670000,-25.1605
673,672000,-25.856
675,674000,-26.0944
677,676000,-26.3998
679,678000,-24.5651
681,680000,-25.9347
683,682000,-25.7794
685,684000,-24.5535
687,686000,-24.6608
689,688000,-24.2077
691,690000,-27.0005
693,692000,-25.1293
695,694000,-26.9688
697,696000,-25.4249
699,698000,-24.8611
701,700000,-23.6603
703,702000,-25.3548
705,704000,-24.4235
707,706000,-25.2339
709,708000,-24.6229
711,710000,-26.505
713,712000,-26.0849
715,714000,-25.0907
717,716000,-26.2617
719,718000,-25.3487
721,720000,-24.2987
723,722000,-25.9989
725,724000,-24.7043
727,726000,-25.0586
729,728000,-26.7546
731,730000,-25.4821
733,732000,-23.9897
735,734000,-26.5118
737,736000,-25.1613
739,738000,-25.3059
741,740000,-25.6808
743,742000,-24.4544
745,744000,-25.9961
747,746000,-27.6457
749,748000,-27.9876
751,750000,-27.8772
753,752000,-22.7341
755,754000,-20.3122
757,756000,-20.5831
759,758000,-20.3966
761,760000,-20.4007
763,762000,-21.3859
765,764000,-20.8081
767,766000,-22.8497
769,768000,-22.3924
771,770000,-22.2472
773,772000,-22.8883
775,774000,-22.8258
777,776000,-21.4341
779,778000,-20.9497
781,780000,-22.4352
783,782000,-20.8386
785,784000,-18.9804
787,786000,-20.8967
789,788000,-20.7434
791,790000,-20.1972
793,792000,-21.3563
795,794000,-21.2654
797,796000,-20.6222
799,798000,-19.8173
801,800000,-18.4258
803,802000,-21.2993
805,804000,-21.1342
807,806000,-19.4151
809,808000,-20.5361
811,810000,-20.4917
813,812000,-21.087
815,814000,-20.8001
817,816000,-23.3429
819,818000,-21.0865
821,820000,-20.7563
823,822000,-20.0142
825,824000,-19.87
827,826000,-20.5061
829,828000,-21.9276
831,830000,-20.6896
833,832000,-20.4752
835,834000,-20.7838
837,836000,-21.0219
839,838000,-20.9707
841,840000,-21.0005
843,842000,-21.4
845,844000,-22.9613
847,846000,-21.0211
849,848000,-20.6651
851,850000,-20.2117
853,852000,-20.348
855,854000,-21.7686
857,856000,-22.4174
859,858000,-23.0175
861,860000,-20.8565
863,862000,-22.1331
865,864000,-21.1254
867,866000,-20.4887
869,868000,-21.3413
871,870000,-25.4581
873,872000,-27.4805
875,874000,-37.9568
877,876000,-44.4125
879,878000,-64.6042
881,880000,-85.1679
883,882000,-52.9675
885,884000,-28.4601
887,886000,-26.7564
889,888000,-23.1056
891,890000,-21.1438
893,892000,-20.4197
895,894000,-19.2132
897,896000,-20.0502
899,898000,-19.892
901,900000,-20.3388
903,902000,-23.723
905,904000,-26.4936
907,906000,-35.2376
909,908000,-44.9184
911,910000,-32.7949
913,912000,-25.5848
915,914000,-23.0691
917,916000,-20.2473
919,918000,-20.2401
921,920000,-22.1272
923,922000,-21.2911
925,924000,-21.8902
927,926000,-20.7046
929,928000,-21.344
931,930000,-21.3248
933,932000,-20.5326
935,934000,-20.8385
937,936000,-21.0533
939,938000,-21.3023
941,940000,-20.084
943,942000,-19.8336
945,944000,-18.9591
947,946000,-19.8669
949,948000,-19.1024
951,950000,-20.9154
953,952000,-21.2437
955,954000,-20.6536
957,956000,-21.5564
959,958000,-20.6643
961,960000,-20.5284
963,962000,-21.307
965,964000,-23.6283
967,966000,-23.3336
969,968000,-21.2595
971,970000,-22.4351
973,972000,-24.7644
976,974000,-22.2971
978,976000,-20.281
980,978000,-21.9195
982,980000,-20.9406
984,982000,-21.3005
986,984000,-21.6101
988,986000,-21.6235
990,988000,-20.8971
992,990000,-21.5631
994,992000,-20.3308
996,994000,-20.7913
998,996000,-19.8498
1000,998000,-20.4077
1002,1000000,-21.5808
1004,1002000,-17.2213
1006,1004000,-17.6521
1008,1006000,-16.5116
1010,1008000,-17.3629
1012,1010000,-19.8058
1014,1012000,-16.9788
1016,1014000,-17.3272
1018,1016000,-16.5255
1020,1018000,-16.0884
1022,1020000,-16.7202
1024,1022000,-16.1722
1026,1024000,-15.377
1028,1026000,-16.0677
1030,1028000,-16.1692
1032,1030000,-18.0464
1034,1032000,-17.7012
1036,1034000,-17.3268
1038,1036000,-16.309
1040,1038000,-15.9429
1042,1040000,-15.5334
1044,1042000,-16.1299
1046,1044000,-16.4434
1048,1046000,-15.8597
1050,1048000,-16.832
1052,1050000,-17.0082
1054,1052000,-17.9052
1056,1054000,-16.5378
1058,1056000,-16.7727
1060,1058000,-16.0378
1062,1060000,-17.0875
1064,1062000,-17.2389
1066,1064000,-17.4356
1068,1066000,-16.3983
1070,1068000,-16.7608
1072,1070000,-15.6234
1074,1072000,-15.5451
1076,1074000,-14.7488
1078,1076000,-14.8615
1080,1078000,-19.8136
1082,1080000,-21.8616
1084,1082000,-151.6039
1086,1084000,-162.2667
1088,1086000,-25.7306
1090,1088000,-15.7818
1092,1090000,-17.1859
1094,1092000,-16.5201
1096,1094000,-16.4895
1098,1096000,-16.0687
1100,1098000,-16.9914
1102,1100000,-17.1293
1104,1102000,-16.7018
1106,1104000,-16.698
1108,1106000,-20.0602
1110,1108000,-22.4048
1112,1110000,-21.2831
1114,1112000,-22.6912
1116,1114000,-18.059
1118,1116000,-16.5457
1120,1118000,-16.8167
1122,1120000,-16.201
1124,1122000,-16.3069
1126,1124000,-16.0011
1128,1126000,-20.636
1130,1128000,-20.3685
1132,1130000,-16.2922
1134,1132000,-16.1353
1136,1134000,-16.6621
1138,1136000,-16.3121
1140,1138000,-16.5484
1142,1140000,-16.889
1144,1142000,-16.0239
1146,1144000,-17.3451
1148,1146000,-15.77
1150,1148000,-15.2892
1152,1150000,-17.7994
1154,1152000,-18.0132
1156,1154000,-16.381
1158,1156000,-16.6724
1160,1158000,-16.5858
1162,1160000,-16.7035
1164,1162000,-15.7411
1166,1164000,-15.9175
1168,1166000,-15.7443
1170,1168000,-15.4726
1172,1170000,-15.8006
1174,1172000,-15.558
1176,1174000,-16.3684
1178,1176000,-15.9284
1180,1178000,-16.3528
1182,1180000,-16.2565
1184,1182000,-17.8217
1186,1184000,-16.9195
1188,1186000,-16.4755
1190,1188000,-15.723
1192,1190000,-16.3958
1194,1192000,-16.7415
1196,1194000,-20.3207
1198,1196000,-20.6916
1200,1198000,-16.683
1202,1200000,-16.5037
1204,1202000,-15.6178
1206,1204000,-14.8894
1208,1206000,-16.5721
1210,1208000,-15.4491
1212,1210000,-17.1909
1214,1212000,-16.3829
1216,1214000,-52.8005
1218,1216000,-58.3375
1220,1218000,-47.0665
1222,1220000,-46.2972
1224,1222000,-26.9232
1226,1224000,-25.6553
1228,1226000,-19.6656
1230,1228000,-19.523
1232,1230000,-17.9524
1234,1232000,-17.667
1236,1234000,-18.6083
1238,1236000,-17.726
1240,1238000,-17.8134
1242,1240000,-17.9614
1244,1242000,-16.4655
1246,1244000,-16.8495
1248,1246000,-17.1122
1250,1248000,-19.8311
1252,1250000,-18.6982
1254,1252000,-15.5191
1256,1254000,-13.7372
1258,1256000,-13.3695
1260,1258000,-13.5994
1262,1260000,-13.3964
1264,1262000,-12.8991
1266,1264000,-12.7182
1268,1266000,-12.1931
1270,1268000,-13.0624
1272,1270000,-12.9884
1274,1272000,-12.1463
1276,1274000,-13.4504
1278,1276000,-13.2469
1280,1278000,-14.1128
1282,1280000,-12.5296
1284,1282000,-12.3195
1286,1284000,-11.4655
1288,1286000,-12.7353
1290,1288000,-11.7962
1292,1290000,-14.0198
1294,1292000,-13.6533
1296,1294000,-13.7078
1298,1296000,-13.1102
1300,1298000,-13.2473
1302,1300000,-12.7343
1304,1302000,-12.2331
1306,1304000,-12.752
1308,1306000,-12.6335
1310,1308000,-12.4874
1312,1310000,-14.2919
1314,1312000,-14.1528
1316,1314000,-13.1261
1318,1316000,-12.8726
1320,1318000,-12.1814
1322,1320000,-13.0851
1324,1322000,-13.3203
1326,1324000,-13.9759
1328,1326000,-13.8793
1330,1328000,-13.3288
1332,1330000,-14.2573
1334,1332000,-14.23
1336,1334000,-14.7137
1338,1336000,-14.3078
1340,1338000,-14.0119
1342,1340000,-13.3389
1344,1342000,-12.1354
1346,1344000,-12.5311
1348,1346000,-12.0674
1350,1348000,-12.1891
1352,1350000,-12.6464
1354,1352000,-13.0503
1356,1354000,-11.5985
1358,1356000,-12.0938
1360,1358000,-12.8466
1362,1360000,-12.4404
1364,1362000,-15.117
1366,1364000,-16.2225
1368,1366000,-13.3868
1370,1368000,-13.5144
1372,1370000,-15.7252
1374,1372000,-15.668
1376,1374000,-13.9478
1378,1376000,-12.3188
1380,1378000,-19.421
1382,1380000,-19.5498
1384,1382000,-14.4358
1386,1384000,-12.9243
1388,1386000,-13.562
1390,1388000,-13.8553
1392,1390000,-12.9886
1394,1392000,-12.9508
1396,1394000,-12.1484
1398,1396000,-12.4507
1400,1398000,-13.0665
1402,1400000,-12.0102
1404,1402000,-12.9381
1406,1404000,-11.9603
1408,1406000,-12.4909
1410,1408000,-11.9604
1412,1410000,-12.4394
1414,1412000,-12.4904
1416,1414000,-13.1015
1418,1416000,-12.879
1420,1418000,-12.623
1422,1420000,-11.9295
1424,1422000,-11.969
1426,1424000,-12.2163
1428,1426000,-11.5513
1430,1428000,-12.5787
1432,1430000,-12.7632
1434,1432000,-12.7195
1436,1434000,-12.2305
1438,1436000,-13.2707
1440,1438000,-14.3099
1442,1440000,-15.2851
1444,1442000,-14.5906
1446,1444000,-14.0784
1448,1446000,-13.4716
1450,1448000,-13.9091
1452,1450000,-13.0216
1454,1452000,-12.3612
1456,1454000,-13.2291
1458,1456000,-13.7689
1460,1458000,-12.7625
1462,1460000,-12.907
1464,1462000,-13.1282
1466,1464000,-13.5102
1468,1466000,-12.174
1470,1468000,-11.8288
1472,1470000,-12.4239
1474,1472000,-11.7761
1476,1474000,-13.7476
1478,1476000,-12.6558
1480,1478000,-12.773
1482,1480000,-12.7336
1484,1482000,-12.8877
1486,1484000,-13.5371
1488,1486000,-12.9456
1490,1488000,-13.5119
1492,1490000,-12.4851
1494,1492000,-12.8307
1496,1494000,-11.7484
1498,1496000,-12.421
1500,1498000,-12.1001
1502,1500000,-12.2492
1504,1502000,-10.372
1506,1504000,-8.9891
1508,1506000,-9.5517
1510,1508000,-8.9563
1512,1510000,-9.9698
1514,1512000,-9.2175
1516,1514000,-9.5836
1518,1516000,-9.423
1520,1518000,-9.11
1522,1520000,-9.3421
1524,1522000,-9.3271
1526,1524000,-9.5215
1528,1526000,-9.3114
1530,1528000,-9.293
1532,1530000,-9.2541
1534,1532000,-9.4539
1536,1534000,-8.8862
1538,1536000,-9.73
1540,1538000,-9.0249
1542,1540000,-9.7104
1544,1542000,-8.6849
1546,1544000,-9.0842
1548,1546000,-8.8883
1550,1548000,-9.4837
1552,1550000,-9.429
1554,1552000,-9.0593
1556,1554000,-9.2
1558,1556000,-9.784
1560,1558000,-9.8298
1562,1560000,-8.9485
1568,1562000,86.338
1574,1564000,86.2602
1576,1566000,-312.0006
1578,1568000,-317.499
1580,1570000,64.9655
1582,1572000,-53.3452
1587,1574000,44.6966
1590,1576000,66.2716
1592,1578000,-167.3838
1594,1580000,-254.2704
1596,1582000,-129.2102
1598,1584000,-45.6376
1600,1586000,-24.4718
1602,1588000,-12.7342
1604,1590000,-11.1573
1606,1592000,-9.2133
1608,1594000,-8.4093
1610,1596000,-9.5041
1612,1598000,-9.8694
1614,1600000,-10.1775
1616,1602000,-9.7653
1618,1604000,-8.9708
1620,1606000,-8.9503
1622,1608000,-8.9748
1624,1610000,-9.3213
1626,1612000,-10.0009
1628,1614000,-9.4744
1630,1616000,-9.1653
1632,1618000,-9.4757
1634,1620000,-9.2294
1636,1622000,-10.4475
1638,1624000,-11.4235
1640,1626000,-10.7143
1642,1628000,-9.2989
1644,1630000,-8.9169
1646,1632000,-8.8591
1648,1634000,-9.0297
1650,1636000,-9.7137
1652,1638000,-8.7814
1654,1640000,-9.2746
1656,1642000,-8.6867
1658,1644000,-9.3067
1660,1646000,-8.8994
1662,1648000,-9.5787
1664,1650000,-9.665
1666,1652000,-10.1887
1668,1654000,-10.1088
1670,1656000,-10.6201
1672,1658000,-11.1099
1674,1660000,-9.8878
1676,1662000,-10.2444
1678,1664000,-10.4901
1680,1666000,-10.5538
1682,1668000,-9.5978
1684,1670000,-10.8352
1686,1672000,-10.9871
1688,1674000,-9.3837
1690,1676000,-8.7924
1692,1678000,-8.9283
1694,1680000,-10.329
1696,1682000,-9.8671
1698,1684000,-9.3506
1700,1686000,-9.2286
1702,1688000,-8.6704
1704,1690000,-8.8839
1706,1692000,-9.9827
1708,1694000,-9.164
1710,1696000,-9.382
1712,1698000,-9.3142
1714,1700000,-8.7579
1716,1702000,-8.9485
1718,1704000,-9.0463
1720,1706000,-9.5284
1722,1708000,-9.5683
1724,1710000,-9.5847
1726,1712000,-8.9827
1728,1714000,-9.4667
1730,1716000,-10.0413
1732,1718000,-30.3559
1734,1720000,-47.7526
1736,1722000,-37.8047
1738,1724000,-28.592
1740,1726000,-23.0774
1742,1728000,-18.0899
1744,1730000,-17.9734
1746,1732000,-16.459
1748,1734000,-13.382
1750,1736000,-9.6062
1752,1738000,-8.9168
1754,1740000,-9.0449
1756,1742000,-9.4485
1758,1744000,-9.0715
1760,1746000,-9.6458
1762,1748000,-8.9929
1764,1750000,-9.126
1766,1752000,-7.9815
1768,1754000,-6.6256
1770,1756000,-6.5208
1772,1758000,-6.5163
1774,1760000,-6.4664
1776,1762000,-6.6301
1778,1764000,-6.1135
1781,1766000,-6.7985
1783,1768000,-6.9769
1785,1770000,-6.1231
1787,1772000,-6.8027
1789,1774000,-6.2893
1791,1776000,-6.7141
1793,1778000,-6.5546
1795,1780000,-6.8604
1797,1782000,-6.476
1799,1784000,-6.5037
1801,1786000,-6.509
1803,1788000,-6.1431
1805,1790000,-6.365
1807,1792000,-6.6948
1809,1794000,-6.5008
1811,1796000,-6.5403
1813,1798000,-6.3724
1815,1800000,-6.6148
1817,1802000,-7.7901
1819,1804000,-7.4833
1821,1806000,-6.5628
1823,1808000,-6.6385
1825,1810000,42.6056
1827,1812000,-7.5335
1830,1814000,92.1199
1833,1816000,92.6136
1835,1818000,-42.0298
1837,1820000,-42.4628
1839,1822000,-20.2732
1841,1824000,-19.6
1843,1826000,-9.5758
1845,1828000,-9.4514
1847,1830000,-9.8016
1849,1832000,-10.3581
1851,1834000,-6.9714
1853,1836000,-6.8598
1855,1838000,-6.4858
1857,1840000,-6.2786
1859,1842000,-6.394
1861,1844000,-6.3359
1863,1846000,-6.635
1865,1848000,-6.6975
1867,1850000,-6.4022
1869,1852000,-6.7214
1871,1854000,-6.4815
1873,1856000,-6.5231
1875,1858000,-6.3931
1877,1860000,-6.1798
1879,1862000,-6.9554
1881,1864000,-6.5754
1883,1866000,-91.1772
1885,1868000,-97.6985
1887,1870000,5.8015
1889,1872000,3.9473
1891,1874000,-22.7601
1893,1876000,37.3152
